Договор,Дата_документа,Документ,Описание_работ,Тип_работ,Месторождение,Скважина,Сумма,НДС
Договор 111,2020-12-24,Акт об оказании производственных услуг ДРЛ00000746 от 24.12.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 5 скважина 88, шт",Переезд,Западно-Усть-Балыкское,88,6294269.62,1049044.94
Договор 111,2021-02-01,Акт об оказании производственных услуг ДРЛ00000074 от 01.02.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 142, шт",Бурение,Западно-Усть-Балыкское,142,24365628.32,4060938.05
Договор 111,2021-02-01,Акт об оказании производственных услуг ДРЛ00000074 от 01.02.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1Б скважина 142, шт",Демонтаж,Западно-Усть-Балыкское,142,2812412.63,468735.44
Договор 111,2021-02-01,Акт об оказании производственных услуг ДРЛ00000074 от 01.02.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1Б скважина 142, шт",Монтаж,Западно-Усть-Балыкское,142,4567218.89,761203.15
Договор 111,2021-02-01,Акт об оказании производственных услуг ДРЛ00000074 от 01.02.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1Б скважина 142, шт",Переезд,Западно-Усть-Балыкское,142,2623247.45,437207.91
Договор 111,2021-03-06,Акт об оказании производственных услуг ДРЛ00000156 от 06.03.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 145, руб",Бурение,Западно-Усть-Балыкское,145,32847319.96,5474553.32
Договор 111,2021-03-06,Акт об оказании производственных услуг ДРЛ00000156 от 06.03.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1Б скважина 145, руб",Демонтаж,Западно-Усть-Балыкское,145,2812412.63,468735.44
Договор 111,2021-03-06,Акт об оказании производственных услуг ДРЛ00000156 от 06.03.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1Б скважина 145, руб",Монтаж,Западно-Усть-Балыкское,145,4567218.89,761203.15
Договор 111,2021-03-06,Акт об оказании производственных услуг ДРЛ00000156 от 06.03.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1Б скважина 145, руб",Переезд,Западно-Усть-Балыкское,145,2623247.45,437207.91
Договор 111,2021-04-01,Акт об оказании производственных услуг ДРЛ00000197 от 01.04.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 6БИС скважина 211, руб",Бурение,Западно-Усть-Балыкское,211,25147689.68,4191281.61
